算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
6600532342000000400,6880532326820000400,20230606,1,1263062_5102_5102	,0,103,多策略,000630,1,1,2.93,1100,2023060693000,2.93,1100,2023060693000,4,0.0
6600532342000002200,6880532326820002300,20230606,1,1263062_5102_5102	,0,103,多策略,003816,1,1,3.05,200,2023060693000,3.05,200,2023060693000,4,0.0
6600532342000004700,6880532326820003500,20230606,2,1263062_5102_5102	,0,103,多策略,600909,1,2,4.86,1700,2023060693000,4.86,1700,2023060693000,4,0.0
6600532342000008100,6880532326820000200,20230606,1,1263062_5102_5102	,0,103,多策略,000415,1,2,2.21,8200,2023060693000,2.21,8200,2023060693000,4,18.12
6600532342000008500,6880532326820000600,20230606,1,1263062_5102_5102	,0,103,多策略,000750,1,1,3.42,6500,2023060693000,3.42,6500,2023060693000,4,0.0
6600532342020002400,6880532326820002000,20230606,1,1263062_5102_5102	,0,103,多策略,002892,1,2,10.87,600,2023060693002,10.93,600,2023060693002,4,6.56
6600532342030002200,6880532326820003300,20230606,2,1263062_5102_5102	,0,103,多策略,600822,1,2,10.29,900,2023060693003,10.29,900,2023060693003,4,0.0
6600532342060002600,6880532326820004900,20230606,2,1263062_5102_5102	,0,103,多策略,688510,1,2,18.68,442,2023060693006,0.0,0,2023060693006,5,0.0
6600532342080001200,6880532326820001700,20230606,1,1263062_5102_5102	,0,103,多策略,002746,1,2,8.52,1300,2023060693008,0.0,0,2023060693008,5,0.0
6600532342090002100,6880532326820004400,20230606,2,1263062_5102_5102	,0,103,多策略,603688,1,2,106.84,100,2023060693009,106.98,100,2023060693009,4,0.0
6600532342110001900,6880532326820000500,20230606,1,1263062_5102_5102	,0,103,多策略,000683,1,2,6.85,1500,2023060693011,6.85,1500,2023060693011,4,10.28
6600532342110005300,6880532326820001500,20230606,1,1263062_5102_5102	,0,103,多策略,002641,1,2,5.51,1100,2023060693011,0.0,0,2023060693011,5,0.0
6600532342170001800,6880532326820001600,20230606,1,1263062_5102_5102	,0,103,多策略,002739,1,1,12.47,100,2023060693017,12.47,100,2023060693017,4,0.0
6600532342170006300,6880532326820005300,20230606,2,1263062_5102_5102	,0,103,多策略,688718,1,2,17.07,302,2023060693017,0.0,0,2023060693017,5,0.0
6600532342180000500,6880532326820002100,20230606,1,1263062_5102_5102	,0,103,多策略,002905,1,2,9.76,400,2023060693018,0.0,0,2023060693018,5,0.0
6600532342200000900,6880532326820000100,20230606,1,1263062_5102_5102	,0,103,多策略,000301,1,2,11.61,100,2023060693020,11.61,100,2023060693020,4,1.16
6600532342260003400,6880532326820002700,20230606,1,1263062_5102_5102	,0,103,多策略,301029,1,2,41.8,300,2023060693026,0.0,0,2023060693026,5,0.0
6600532342360002700,6880532326820004800,20230606,2,1263062_5102_5102	,0,103,多策略,688357,1,1,92.14,281,2023060693036,0.0,0,2023060693036,5,0.0
6600532342470001600,6880532326820000800,20230606,1,1263062_5102_5102	,0,103,多策略,002027,1,1,6.51,1200,2023060693047,6.51,1200,2023060693047,4,0.0
6600532342490002500,6880532326820004100,20230606,2,1263062_5102_5102	,0,103,多策略,603289,1,1,10.07,100,2023060693049,10.07,100,2023060693049,4,0.0
6600532342500001100,6880532326820001900,20230606,1,1263062_5102_5102	,0,103,多策略,002880,1,2,36.36,300,2023060693050,36.37,300,2023060693050,4,10.91
6600532342900000500,6880532326820002100,20230606,1,1263062_5102_5102	,0,103,多策略,002905,1,2,9.65,200,2023060693130,9.65,200,2023060693130,4,1.93
6600532343310000900,6880532326820002700,20230606,1,1263062_5102_5102	,0,103,多策略,301029,1,2,41.62,300,2023060693211,0.0,0,2023060693211,5,0.0
6600532344280000100,6880532326820002700,20230606,1,1263062_5102_5102	,0,103,多策略,301029,1,2,41.5,300,2023060693348,41.5,300,2023060693348,4,12.45
6600532344390001300,6880532326820002500,20230606,1,1263062_5102_5102	,0,103,多策略,300146,1,1,22.23,100,2023060693359,22.23,100,2023060693359,4,0.0
6600532344390002700,6880532326820004500,20230606,2,1263062_5102_5102	,0,103,多策略,605266,1,1,81.73,200,2023060693359,81.73,200,2023060693359,4,0.0
6600532344870000900,6880532326820002600,20230606,1,1263062_5102_5102	,0,103,多策略,300855,1,1,45.34,100,2023060693447,45.34,100,2023060693447,4,0.0
6600532345040000500,6880532326820003700,20230606,2,1263062_5102_5102	,0,103,多策略,601600,1,1,5.53,300,2023060693504,5.53,300,2023060693504,4,0.0
6600532345260000600,6880532326820004900,20230606,2,1263062_5102_5102	,0,103,多策略,688510,1,2,18.37,442,2023060693526,0.0,0,2023060693526,5,0.0
6600532345550000400,6880532326820004600,20230606,2,1263062_5102_5102	,0,103,多策略,688029,1,1,85.13,304,2023060693555,0.0,0,2023060693555,5,0.0
6600532345570000500,6880532326820004800,20230606,2,1263062_5102_5102	,0,103,多策略,688357,1,1,91.27,281,2023060693557,91.19,281,2023060693557,4,0.0
6600532345580000700,6880532326820004700,20230606,2,1263062_5102_5102	,0,103,多策略,688223,1,1,11.89,765,2023060693558,11.89,765,2023060693558,4,0.0
6600532345600000000,6880532326820000200,20230606,1,1263062_5102_5102	,0,103,多策略,000415,1,2,2.21,5400,2023060693600,0.0,0,2023060693600,5,0.0
6600532345600000100,6880532326820000600,20230606,1,1263062_5102_5102	,0,103,多策略,000750,1,1,3.41,4300,2023060693600,0.0,0,2023060693600,5,0.0
6600532345670000800,6880532326820001900,20230606,1,1263062_5102_5102	,0,103,多策略,002880,1,2,37.24,200,2023060693607,37.26,200,2023060693607,4,7.45
6600532345710000700,6880532326820005300,20230606,2,1263062_5102_5102	,0,103,多策略,688718,1,2,16.85,302,2023060693611,16.85,302,2023060693611,4,0.0
6600532346110000800,6880532326820003200,20230606,2,1263062_5102_5102	,0,103,多策略,600803,1,1,18.71,200,2023060693651,0.0,0,2023060693651,5,0.0
6600532346430001600,6880532326820002800,20230606,2,1263062_5102_5102	,0,103,多策略,600211,1,1,55.54,100,2023060693723,55.54,100,2023060693723,4,0.0
6600532346490001300,6880532326820004900,20230606,2,1263062_5102_5102	,0,103,多策略,688510,1,2,18.29,442,2023060693729,0.0,0,2023060693729,5,0.0
6600532346520000800,6880532326820002200,20230606,1,1263062_5102_5102	,0,103,多策略,002990,1,2,38.29,500,2023060693732,0.0,0,2023060693732,5,0.0
6600532346670000700,6880532326820004900,20230606,2,1263062_5102_5102	,0,103,多策略,688510,1,2,18.25,442,2023060693747,18.25,442,2023060693747,4,0.0
6600532346870000500,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.5,1700,2023060693807,0.0,0,2023060693807,5,0.0
6600532346890001000,6880532326820004300,20230606,2,1263062_5102_5102	,0,103,多策略,603639,1,2,18.86,1000,2023060693809,0.0,0,2023060693809,5,0.0
6600532346900000700,6880532326820003000,20230606,2,1263062_5102_5102	,0,103,多策略,600315,1,2,28.7,200,2023060693810,28.7,200,2023060693810,4,0.0
6600532347030000600,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.53,1700,2023060693823,9.54,1700,2023060693823,4,0.0
6600532347170000900,6880532326820004600,20230606,2,1263062_5102_5102	,0,103,多策略,688029,1,1,85.83,521,2023060693837,0.0,0,2023060693837,5,0.0
6600532347290001000,6880532326820003300,20230606,2,1263062_5102_5102	,0,103,多策略,600822,1,2,9.89,600,2023060693849,9.9,600,2023060693849,4,0.0
6600532347330000500,6880532326820003800,20230606,2,1263062_5102_5102	,0,103,多策略,601728,1,1,6.23,100,2023060693853,6.23,100,2023060693853,4,0.0
6600532347470001400,6880532326820004200,20230606,2,1263062_5102_5102	,0,103,多策略,603466,1,2,15.79,100,2023060693907,15.79,100,2023060693907,4,0.0
6600532347660000400,6880532326820000700,20230606,1,1263062_5102_5102	,0,103,多策略,002025,1,1,57.85,200,2023060693926,57.85,100,2023060693926,8,0.0
6600532347700001300,6880532326820004600,20230606,2,1263062_5102_5102	,0,103,多策略,688029,1,1,85.82,521,2023060693930,0.0,0,2023060693930,5,0.0
6600532347870001200,6880532326820002200,20230606,1,1263062_5102_5102	,0,103,多策略,002990,1,2,38.44,500,2023060693947,0.0,0,2023060693947,5,0.0
6600532348010000900,6880532326820002200,20230606,1,1263062_5102_5102	,0,103,多策略,002990,1,2,38.36,500,2023060694001,0.0,0,2023060694001,5,0.0
6600532348050000300,6880532326820002400,20230606,1,1263062_5102_5102	,0,103,多策略,300047,1,2,8.51,400,2023060694005,8.51,400,2023060694005,4,3.4
6600532348260001000,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.49,1387,2023060694026,0.0,0,2023060694026,5,0.0
6600532348270000300,6880532326820003400,20230606,2,1263062_5102_5102	,0,103,多策略,600829,1,2,7.26,200,2023060694027,7.26,200,2023060694027,4,0.0
6600532348290001200,6880532326820004000,20230606,2,1263062_5102_5102	,0,103,多策略,601958,1,1,11.16,500,2023060694029,11.16,500,2023060694029,4,0.0
6600532348360000600,6880532326820004300,20230606,2,1263062_5102_5102	,0,103,多策略,603639,1,2,18.89,300,2023060694036,18.9,300,2023060694036,4,0.0
6600532348440000600,6880532326820003200,20230606,2,1263062_5102_5102	,0,103,多策略,600803,1,1,18.6,200,2023060694044,18.6,200,2023060694044,4,0.0
6600532348460000300,6880532326820001300,20230606,1,1263062_5102_5102	,0,103,多策略,002448,1,2,6.84,100,2023060694046,6.84,100,2023060694046,4,0.68
6600532348860000200,6880532326820001700,20230606,1,1263062_5102_5102	,0,103,多策略,002746,1,2,8.42,2100,2023060694126,8.42,2100,2023060694126,4,17.68
6600532348980000900,6880532326820004600,20230606,2,1263062_5102_5102	,0,103,多策略,688029,1,1,85.53,521,2023060694138,85.53,106,2023060694138,8,0.0
6600532349140000600,6880532326820004600,20230606,2,1263062_5102_5102	,0,103,多策略,688029,1,1,85.63,415,2023060694154,85.63,415,2023060694154,4,0.0
6600532349200000200,6880532326820000200,20230606,1,1263062_5102_5102	,0,103,多策略,000415,1,2,2.21,5400,2023060694200,0.0,0,2023060694200,5,0.0
6600532349200000300,6880532326820000600,20230606,1,1263062_5102_5102	,0,103,多策略,000750,1,1,3.42,4400,2023060694200,3.42,4400,2023060694200,4,0.0
6600532349280000100,6880532326820002200,20230606,1,1263062_5102_5102	,0,103,多策略,002990,1,2,38.43,500,2023060694208,38.43,500,2023060694208,4,19.22
6600532349280000600,6880532326820005200,20230606,2,1263062_5102_5102	,0,103,多策略,688588,1,1,16.27,224,2023060694208,16.27,224,2023060694208,4,0.0
6600532349430000600,6880532326820001900,20230606,1,1263062_5102_5102	,0,103,多策略,002880,1,2,38.89,200,2023060694223,38.89,200,2023060694223,4,7.78
6600532349680000300,6880532326820002900,20230606,2,1263062_5102_5102	,0,103,多策略,600292,1,2,5.91,200,2023060694248,5.91,200,2023060694248,4,0.0
6600532349740000700,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.55,713,2023060694254,22.55,713,2023060694254,4,0.0
6600532351000000400,6880532326820002000,20230606,1,1263062_5102_5102	,0,103,多策略,002892,1,2,11.0,300,2023060694500,11.02,300,2023060694500,4,3.31
6600532351000000500,6880532326820003500,20230606,2,1263062_5102_5102	,0,103,多策略,600909,1,2,4.86,1100,2023060694500,0.0,0,2023060694500,5,0.0
6600532351060000100,6880532326820001800,20230606,1,1263062_5102_5102	,0,103,多策略,002763,1,2,8.83,100,2023060694506,8.83,100,2023060694506,4,0.88
6600532351210000000,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.77,700,2023060694521,0.0,0,2023060694521,5,0.0
6600532351400000200,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.54,645,2023060694540,0.0,0,2023060694540,5,0.0
6600532351410000700,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.55,583,2023060694541,0.0,0,2023060694541,5,0.0
6600532351470000100,6880532326820001100,20230606,1,1263062_5102_5102	,0,103,多策略,002238,1,2,7.53,1000,2023060694547,7.53,1000,2023060694547,4,7.53
6600532351480000500,6880532326820003300,20230606,2,1263062_5102_5102	,0,103,多策略,600822,1,2,9.97,700,2023060694548,9.97,700,2023060694548,4,0.0
6600532351550000300,6880532326820001400,20230606,1,1263062_5102_5102	,0,103,多策略,002588,1,2,6.28,200,2023060694555,6.28,200,2023060694555,4,1.26
6600532351580000200,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.8,700,2023060694558,0.0,0,2023060694558,5,0.0
6600532351740000400,6880532326820001500,20230606,1,1263062_5102_5102	,0,103,多策略,002641,1,2,5.47,1700,2023060694614,5.47,1700,2023060694614,4,9.3
6600532352070000200,6880532326820000300,20230606,1,1263062_5102_5102	,0,103,多策略,000528,1,1,7.37,3400,2023060694647,7.37,3400,2023060694647,4,0.0
6600532352080000500,6880532326820003100,20230606,2,1263062_5102_5102	,0,103,多策略,600603,1,2,6.84,4000,2023060694648,6.84,4000,2023060694648,4,0.0
6600532352160000500,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.58,1228,2023060694656,22.58,1228,2023060694656,4,0.0
6600532352230000200,6880532326820002100,20230606,1,1263062_5102_5102	,0,103,多策略,002905,1,2,9.99,200,2023060694703,9.99,200,2023060694703,4,2.0
6600532352370001400,6880532326820004300,20230606,2,1263062_5102_5102	,0,103,多策略,603639,1,2,18.92,1100,2023060694717,18.92,1100,2023060694717,4,0.0
6600532352430001300,6880532326820004500,20230606,2,1263062_5102_5102	,0,103,多策略,605266,1,1,80.83,200,2023060694723,80.83,200,2023060694723,4,0.0
6600532352660001700,6880532326820003600,20230606,2,1263062_5102_5102	,0,103,多策略,601139,1,1,7.05,1600,2023060694746,7.05,1600,2023060694746,4,0.0
6600532352710000000,6880532326820000500,20230606,1,1263062_5102_5102	,0,103,多策略,000683,1,2,6.82,1900,2023060694751,6.82,1900,2023060694751,4,12.96
6600532352740000300,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.82,700,2023060694754,0.0,0,2023060694754,5,0.0
6600532352800000200,6880532326820000200,20230606,1,1263062_5102_5102	,0,103,多策略,000415,1,2,2.21,5400,2023060694800,0.0,0,2023060694800,5,0.0
6600532352800000300,6880532326820000600,20230606,1,1263062_5102_5102	,0,103,多策略,000750,1,1,3.41,4300,2023060694800,0.0,0,2023060694800,5,0.0
6600532352800000500,6880532326820001900,20230606,1,1263062_5102_5102	,0,103,多策略,002880,1,2,39.86,200,2023060694800,39.9,200,2023060694800,4,7.98
6600532352890000500,6880532326820004900,20230606,2,1263062_5102_5102	,0,103,多策略,688510,1,2,18.14,296,2023060694809,18.14,296,2023060694809,4,0.0
6600532353100000300,6880532326820002700,20230606,1,1263062_5102_5102	,0,103,多策略,301029,1,2,41.14,300,2023060694830,0.0,0,2023060694830,5,0.0
6600532353240000600,6880532326820000700,20230606,1,1263062_5102_5102	,0,103,多策略,002025,1,1,58.1,100,2023060694844,58.1,100,2023060694844,4,0.0
6600532353240000900,6880532326820002700,20230606,1,1263062_5102_5102	,0,103,多策略,301029,1,2,41.05,300,2023060694844,41.05,300,2023060694844,4,12.32
6600532353540001000,6880532326820004800,20230606,2,1263062_5102_5102	,0,103,多策略,688357,1,1,91.38,522,2023060694914,0.0,0,2023060694914,5,0.0
6600532353610000400,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.99,700,2023060694921,9.99,700,2023060694921,4,0.0
6600532353640000600,6880532326820001000,20230606,1,1263062_5102_5102	,0,103,多策略,002187,1,2,6.8,100,2023060694924,6.8,100,2023060694924,4,0.68
6600532353840001000,6880532326820001200,20230606,1,1263062_5102_5102	,0,103,多策略,002388,1,2,6.9,100,2023060694944,6.9,100,2023060694944,4,0.69
6600532354460001600,6880532326820003000,20230606,2,1263062_5102_5102	,0,103,多策略,600315,1,2,28.63,100,2023060695046,28.63,100,2023060695046,4,0.0
6600532354930000100,6880532326820004700,20230606,2,1263062_5102_5102	,0,103,多策略,688223,1,1,11.79,1001,2023060695133,11.79,1001,2023060695133,4,0.0
6600532354980000500,6880532326820004800,20230606,2,1263062_5102_5102	,0,103,多策略,688357,1,1,91.31,522,2023060695138,91.31,36,2023060695138,8,0.0
6600532355940000200,6880532326820004600,20230606,2,1263062_5102_5102	,0,103,多策略,688029,1,1,86.16,348,2023060695314,0.0,0,2023060695314,5,0.0
6600532356090000300,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.94,400,2023060695329,9.95,400,2023060695329,4,0.0
6600532356170000200,6880532326820003300,20230606,2,1263062_5102_5102	,0,103,多策略,600822,1,2,10.02,300,2023060695337,10.03,300,2023060695337,4,0.0
6600532356400000100,6880532326820000200,20230606,1,1263062_5102_5102	,0,103,多策略,000415,1,2,2.2,2700,2023060695400,0.0,0,2023060695400,5,0.0
6600532356400000200,6880532326820000600,20230606,1,1263062_5102_5102	,0,103,多策略,000750,1,1,3.41,2100,2023060695400,0.0,0,2023060695400,5,0.0
6600532356490000400,6880532326820002700,20230606,1,1263062_5102_5102	,0,103,多策略,301029,1,2,40.82,100,2023060695409,0.0,0,2023060695409,5,0.0
6600532356590000800,6880532326820003500,20230606,2,1263062_5102_5102	,0,103,多策略,600909,1,2,4.84,1100,2023060695419,4.84,1100,2023060695419,4,0.0
6600532357550000000,6880532326820003900,20230606,2,1263062_5102_5102	,0,103,多策略,601816,1,2,5.61,8200,2023060695555,5.61,8200,2023060695555,4,0.0
6600532358130000100,6880532326820004800,20230606,2,1263062_5102_5102	,0,103,多策略,688357,1,1,91.38,486,2023060695653,91.38,224,2023060695653,8,0.0
6600532358170000700,6880532326820004600,20230606,2,1263062_5102_5102	,0,103,多策略,688029,1,1,85.73,348,2023060695657,0.0,0,2023060695657,5,0.0
6600532358280000400,6880532326820002200,20230606,1,1263062_5102_5102	,0,103,多策略,002990,1,2,38.19,300,2023060695708,38.19,300,2023060695708,4,11.46
6600532358430000800,6880532326820004600,20230606,2,1263062_5102_5102	,0,103,多策略,688029,1,1,85.89,348,2023060695723,85.89,348,2023060695723,4,0.0
6600532358460001000,6880532326820001700,20230606,1,1263062_5102_5102	,0,103,多策略,002746,1,2,8.44,2100,2023060695726,8.45,2100,2023060695726,4,17.75
6600532358510000000,6880532326820000200,20230606,1,1263062_5102_5102	,0,103,多策略,000415,1,2,2.2,16200,2023060695731,0.0,0,2023060695731,5,0.0
6600532358670000400,6880532326820002700,20230606,1,1263062_5102_5102	,0,103,多策略,301029,1,2,40.95,100,2023060695747,40.95,100,2023060695747,4,4.1
6600532358690000200,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.48,833,2023060695749,0.0,0,2023060695749,5,0.0
6600532358700000600,6880532326820004800,20230606,2,1263062_5102_5102	,0,103,多策略,688357,1,1,91.38,262,2023060695750,91.38,262,2023060695750,4,0.0
6600532358820000700,6880532326820003100,20230606,2,1263062_5102_5102	,0,103,多策略,600603,1,2,6.86,1600,2023060695802,6.86,1600,2023060695802,4,0.0
6600532358830000000,6880532326820000600,20230606,1,1263062_5102_5102	,0,103,多策略,000750,1,1,3.42,10700,2023060695803,3.42,10700,2023060695803,4,0.0
6600532358840000700,6880532326820005300,20230606,2,1263062_5102_5102	,0,103,多策略,688718,1,2,16.79,202,2023060695804,16.79,202,2023060695804,4,0.0
6600532358870000300,6880532326820004300,20230606,2,1263062_5102_5102	,0,103,多策略,603639,1,2,18.91,200,2023060695807,18.91,200,2023060695807,4,0.0
6600532358890000200,6880532326820000200,20230606,1,1263062_5102_5102	,0,103,多策略,000415,1,2,2.19,18900,2023060695809,2.19,18900,2023060695809,4,41.39
6600532358920000900,6880532326820000500,20230606,1,1263062_5102_5102	,0,103,多策略,000683,1,2,6.82,1400,2023060695812,6.82,1400,2023060695812,4,9.55
6600532359030000200,6880532326820000300,20230606,1,1263062_5102_5102	,0,103,多策略,000528,1,1,7.41,500,2023060695823,7.41,500,2023060695823,4,0.0
6600532359270000400,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.54,833,2023060695847,22.54,833,2023060695847,4,0.0
